,company,job,title,question,answer
127,에이치피코리아,IT/웹/통신,"업무에대한 경험이 가장 중요함. 총판-파트너 비즈니스 유경험자를 가장선호하며 영어 능력 매우 중요""","1:1 개별면접으로 기존 직무에 대한 설명
성공적으로 진행한 프로모션 소개
파트너영업에 대한 이해","면접 난이도는 낮으며
업무의 전문성과 경험이 가장중요
HP가 어떤 총판, 파트너와 협업하는지 알면 합격 확률 높음"
128,(주)에이알미디어웍스,IT/웹/통신,"본인의 대학교에서 시간 교수로 들어오신 대표님과 대화하여,
본교 내부 흡연장에서 얘기를 나누며 면접을 진행하였다.""",기본적인 어도비 툴 관련 기초 지식과 유니티 및 3D 활용을 할 수 있는지에 대한 질문을 주고 받음.,"어도비 및 3D 관련 툴에 대한 기초적인 부분은 수업을 진행하면서 직접 확인.

느낀점은 본인의 역량을 키워주겠다는 언급을 통해
대표님의 책임감 있는 모습을 기대함."
129,(주)지엔피컴퍼니,IT/웹/통신,"면접에서 채용까지의 과정은 쉬움 서류 면접 통과 후 면접 후 바로 연락옴""","자신의 장단점을 말해보세요
희망 연봉이 어떻게 되는지?",가벼운 인성면접 정도의 수준
130,(주)텔라움,IT/웹/통신,"서류제출 - 면접 - 합격의 괴정으로 이루어집니다. (면접비는 없음)""","1.품질부서가 존재하는 이유는 무엇이라 생각하는가?
2. 회사를 선택함에 있어 중요하게 보는 요소는?
3. 야근과 워라밸에 대해서 어떻게 생각하는가?","2:1 (임원, 팀장) 면접 진행하였습니다.
회사는 깨끗하고 깔끔해서 좋았습니다.

직무에 대한 디테일한 내용보다도 본인에 대한 인성, 성품 등 어떤 생각을 갖고 사는지 가치관등을 중요하게 보는 것 같습니다. 상황에 따라 어려운 질문이 될 수도 있으나 그사람이 평상시 생각하는 깊이나 사물에 바라보는 관념, 기준 등에 의하여 질문의 난이도가..."
131,(주)아이리스아이디,IT/웹/통신,"헤드헌터를 통해 서류접수, 면접일정이 확정되고 임원과 개발팀장이 면접에 참석함""","전직장에선 무슨일을 했나, 퇴사이유는 무엇인가, 홍채에 대해서 평소에 알고 계십니까",했던 일을 위주로 답변하는 경력직에게는 면접 분위기도 괜찮고 질문 난이도도 높지 않음
132,(주)나스텍,IT/웹/통신,"빠른시일내에 인터뷰 일정 잡혔고 횟수는 1번.
그자리에서 합격여부 나왔습니다.""","면접 난이도는 쉬운편에 속했고,
태도, 인성 위주의 면접을 진행했던거 같네요.","편안한 분위기에서 어려운거 없이 진행했고,
나쁘지 않았습니다."
133,레코피스(주),IT/웹/통신,"컴퓨터에 대한 관심과 기본적인 서비스 응대능력에 바탕이 되는 커뮤니케이션 능력을 봅니다. 그리고 출퇴근 및 장기재직 가능성 여부도 봅니다.

기본적인 컴퓨터 지식 ex) bios, ram, os 를 설명할 수...""","Ms office를 잘 다루는가?
출퇴근하는데 어렵지는 않은가?
언제부터 나올수 있는가?","기본적인 건 할 줄 안다고 답했으며, 제가 가진 지식수준을 깊히 고려하는 것 같지는 않았습니다."
134,(주)포런테크놀로지,IT/웹/통신,"서류를 제출 후 2틀 후에 면접 연락 와서 날짜잡음""",졸업과제 및 직무 경험 등을 물어봤었음,어렵지 않고 편안한 분위기에서 면접 봄
135,(주)포스센터,IT/웹/통신,"이력서 제출 후 전화와서 면접일정을 잡았음. 사무실에서 간단하게 면접 진행함""",영업경력에 대한 질문이 대부분이였음. 그리고 영업에 대한 자세 태도를 확인함,질문 내용이나 난이도는 평범해서 어렵지 않았음
136,현승코리아(주),IT/웹/통신,"잡코리아로 이력서 제출 후 전화를 주시고 회사에서 면접을 보았습니다""","자기소개, 성격 장단점이 대해서, 근무하면서 스트레스 해소는 어떻게 하는지 등",질의응답에 대해서 잘 들어주셨고 면접이 전체적으로 어렵지 않았다.
137,데이비드테크(주),IT/웹/통신,"연락와서 임원 2분이랑 20분정도 편안한 분위기에서 면접을 봄""","전 회사를 왜 그만두었나?
전 회사에서 주로 무엇을 했나?
우리 회사는 기독교 회사인데 분위기에 적응할 수 있겠는가?","다 솔직히 말씀드렸고
기독교인이라 특별히 거부감은 없다고 답함."
138,잘만테크(주),IT/웹/통신,"실무 면접-임원 면접-인사임원 면접으로 진행됨
경력사항에 있는 본인 업무 위주로 질문함.
압박 면접은 아님""",이 회사를 지원한 이유. 새로운 일을 하는데 대한 두려움은 없는지. 본인은 어떤 성향의 사람인지.,열정적인 모습을 보이고 부족하지만 솔직하게 대답하면 이해해주는 분위기
139,(주)세솔,IT/웹/통신,"1차2차면접중 2차 임원진면접
2차 부사장 사장 불쾌한질문많았습니다
사적인개인적인질문, 압박면접""","부모님은 뭐하시는지? 가족들이하는일
요즘시대에도 이런 구시대적인 질문을 물어보는곳이 있군요

욕심이없어보인다는질문","전체적으로 2차면접시 불쾌한질문
사적인질문 구시대적인질문 갑질의 압박면접이었습니다
궁금한사항여쭤보는데 귀찮아하시고
욕심이없어보인다는둥 2차면접인상 안좋았습니다"
140,(주)해달미디텍,IT/웹/통신,"면접일은 통화 다음날 가능한지 연락옴 상무와 면담 / 거리 /하는업무 설명
할수 있다 하면 사장과 면담 후 출근 가능정도""","면접은 쉬움
조립 가능하냐 / 운전가능 /등",면접은 상당히 쉬워 준비할게 없음
